0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:26 +0800] "GET /fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:28 +0800] "GET /reservation/reservation.jsp?rnvid=2 HTTP/1.1" 200 6749
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:29 +0800] "GET /fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:29 +0800] "GET /fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:29 +0800] "POST /reservation/OrderAvailable HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:29 +0800] "GET /fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:30 +0800] "GET /reservation/reservation.jsp?rnvid=3 HTTP/1.1" 200 6749
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:30 +0800] "GET /fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:30 +0800] "GET /fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:30 +0800] "POST /reservation/OrderAvailable HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:30 +0800] "GET /fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:31 +0800] "GET /reservation/reservation.jsp?rnvid=4 HTTP/1.1" 200 6749
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:31 +0800] "GET /fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:31 +0800] "GET /fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:31 +0800] "POST /reservation/OrderAvailable HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:31 +0800] "GET /fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:32 +0800] "GET /reservation/reservation.jsp?rnvid=1 HTTP/1.1" 200 6749
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:32 +0800] "GET /fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:32 +0800] "GET /fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:32 +0800] "POST /reservation/OrderAvailable HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:32 +0800] "GET /fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:33 +0800] "GET /reservation/reservation.jsp?rnvid=1&year=2018&month=12&day=31 HTTP/1.1" 200 6745
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:33 +0800] "GET /fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:33 +0800] "GET /fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:33 +0800] "POST /reservation/OrderAvailable HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:33 +0800] "GET /fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:34 +0800] "GET /reservation/reservation.jsp?rnvid=1&year=2019&month=1&day=1 HTTP/1.1" 200 6743
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:34 +0800] "GET /fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:34 +0800] "GET /fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:34 +0800] "POST /reservation/OrderAvailable HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:34 +0800] "GET /fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:35 +0800] "GET /reservation/reservation.jsp?rnvid=1&year=2019&month=1&day=2 HTTP/1.1" 200 6743
